Spectra extracted from: /Users/belmont/Recherche/codes/BELM/belm/simu000/without_induced.txt
At local time: 11:37:43,  07/13/2021
Author: belmont
 
PARAMETERS:-----------------------------------
time      = 0.00e+00
Rcm       = 5.00e+07
tau       = 2.40e+00
lb        = 1.62e-02
beta      = 2.91e+08
lth       = 9.49e+00
lc        = 0.00e+00
Tp        = 1.00e+06
pinj      = 1.57e-01
lnth      = 0.00e+00
p1        = 8.31e-01
p2        = 1.00e+03
gamma_inj = 5.00e+00
linjw     = 0.00e+00
kTin      = 1.00e+00
kTout     = 1.00e-10
linjem    = 0.00e+00
linjep    = 0.00e+00
lslh      = 0.00e+00
lh        = 0.00e+00
llll      = 0.00e+00
lblh      = 0.00e+00
lnthlh    = 0.00e+00
par3      = 0.00e+00
y         = 0.00e+00
rr        = 0.00e+00
qsto      = 1.67e+00
lsto      = 0.00e+00
lstotot   = 0.00e+00
tau_inj   = 0.00e+00
kTin_inj  = 0.00e+00
pinj_inj  = 0.00e+00
 
PHOTON DISTRIBUTIONS:-------------------------
 #bin     Emin(keV)         E(keV)          Emax(keV)        SPECTRUM         Compton          Synchrotron      Error           
-----------------------------------------------
0049    6.5990303e-06    6.6166090e-06    6.6342809e-06    1.1527399e+26   -1.4473957e+26    2.6001355e+26    0.0000000e+00
0050    6.6342809e-06    6.6519533e-06    6.6697203e-06    1.1713120e+26   -1.4622963e+26    2.6336083e+26    0.0000000e+00
0051    6.6697203e-06    6.6874868e-06    6.7053484e-06    1.1901834e+26   -1.4774279e+26    2.6676111e+26    0.0000000e+00
0052    6.7053484e-06    6.7232104e-06    6.7411675e-06    1.2093589e+26   -1.4927945e+26    2.7021532e+26    2.0900091e+19
0053    6.7411675e-06    6.7591250e-06    6.7771775e-06    1.2288431e+26   -1.5083940e+26    2.7372373e+26    0.0000000e+00
0054    6.7771775e-06    6.7952305e-06    6.8133800e-06    1.2486414e+26   -1.5242302e+26    2.7728714e+26    4.2700519e+19
0055    6.8133800e-06    6.8315298e-06    6.8497761e-06    1.2687587e+26   -1.5403075e+26    2.8090661e+26    0.0000000e+00
0056    6.8497761e-06    6.8680224e-06    6.8863665e-06    1.2891999e+26   -1.5566302e+26    2.8458298e+26    2.1810124e+19
0057    6.8863665e-06    6.9047105e-06    6.9231519e-06    1.3099707e+26   -1.5732036e+26    2.8831744e+26    0.0000000e+00
0058    6.9231519e-06    6.9415942e-06    6.9601342e-06    1.3310760e+26   -1.5900322e+26    2.9211083e+26    0.0000000e+00
0059    6.9601342e-06    6.9786747e-06    6.9973144e-06    1.3525214e+26   -1.6071217e+26    2.9596428e+26    0.0000000e+00
0060    6.9973144e-06    7.0159535e-06    7.0346928e-06    1.3743123e+26   -1.6244771e+26    2.9987894e+26    0.0000000e+00
0061    7.0346928e-06    7.0534315e-06    7.0722708e-06    1.3964540e+26   -1.6421039e+26    3.0385580e+26    0.0000000e+00
0062    7.0722708e-06    7.0911101e-06    7.1100494e-06    1.4189529e+26   -1.6600081e+26    3.0789610e+26    0.0000000e+00
0063    7.1100494e-06    7.1289896e-06    7.1480304e-06    1.4418140e+26   -1.6781892e+26    3.1200033e+26    0.0000000e+00
0064    7.1480304e-06    7.1670711e-06    7.1862137e-06    1.4650435e+26   -1.6966476e+26    3.1616911e+26    0.0000000e+00
0065    7.1862137e-06    7.2053563e-06    7.2246012e-06    1.4886472e+26   -1.7153887e+26    3.2040360e+26    0.0000000e+00
0066    7.2246012e-06    7.2438461e-06    7.2631933e-06    1.5126313e+26   -1.7344177e+26    3.2470486e+26    2.4262367e+19
0067    7.2631933e-06    7.2825414e-06    7.3019924e-06    1.5370018e+26   -1.7537399e+26    3.2907416e+26    0.0000000e+00
0068    7.3019924e-06    7.3214437e-06    7.3409983e-06    1.5617648e+26   -1.7733613e+26    3.3351263e+26    0.0000000e+00
0069    7.3409983e-06    7.3605534e-06    7.3802125e-06    1.5869269e+26   -1.7932877e+26    3.3802146e+26    2.5050459e+19
0070    7.3802125e-06    7.3998722e-06    7.4196369e-06    1.6124943e+26   -1.8135251e+26    3.4260193e+26    0.0000000e+00
0071    7.4196369e-06    7.4394006e-06    7.4592708e-06    1.6384736e+26   -1.8340797e+26    3.4725535e+26    0.0000000e+00
0072    7.4592708e-06    7.4791405e-06    7.4991167e-06    1.6648714e+26   -1.8549583e+26    3.5198295e+26    2.5864146e+19
0073    7.4991167e-06    7.5190928e-06    7.5391758e-06    1.6916946e+26   -1.8761672e+26    3.5678619e+26    0.0000000e+00
0074    7.5391758e-06    7.5592588e-06    7.5794487e-06    1.7189503e+26   -1.8977141e+26    3.6166646e+26    0.0000000e+00
0075    7.5794487e-06    7.5996390e-06    7.6199367e-06    1.7466447e+26   -1.9195964e+26    3.6662413e+26    0.0000000e+00
0076    7.6199367e-06    7.6402348e-06    7.6606411e-06    1.7747854e+26   -1.9418151e+26    3.7166006e+26    0.0000000e+00
0077    7.6606411e-06    7.6810475e-06    7.7015629e-06    1.8033795e+26   -1.9643768e+26    3.7677563e+26    0.0000000e+00
0078    7.7015629e-06    7.7220784e-06    7.7427039e-06    1.8324343e+26   -1.9872878e+26    3.8197219e+26    0.0000000e+00
0079    7.7427039e-06    7.7633285e-06    7.7840632e-06    1.8619573e+26   -2.0105553e+26    3.8725124e+26    0.0000000e+00
0080    7.7840632e-06    7.8047988e-06    7.8256453e-06    1.8919556e+26   -2.0341848e+26    3.9261404e+26    0.0000000e+00
0081    7.8256453e-06    7.8464909e-06    7.8674484e-06    1.9224376e+26   -2.0581844e+26    3.9806218e+26    2.8467262e+19
0082    7.8674484e-06    7.8884059e-06    7.9094743e-06    1.9534106e+26   -2.0825610e+26    4.0359716e+26    0.0000000e+00
0083    7.9094743e-06    7.9305437e-06    7.9517249e-06    1.9848822e+26   -2.1073221e+26    4.0922043e+26    2.9080420e+19
0084    7.9517249e-06    7.9729080e-06    7.9942020e-06    2.0168615e+26   -2.1324753e+26    4.1493372e+26    2.9391938e+19
0085    7.9942020e-06    8.0154969e-06    8.0369064e-06    2.0493556e+26   -2.1580285e+26    4.2073839e+26    0.0000000e+00
0086    8.0369064e-06    8.0583150e-06    8.0798372e-06    2.0823736e+26   -2.1839905e+26    4.2663637e+26    3.0025015e+19
0087    8.0798372e-06    8.1013604e-06    8.1229982e-06    2.1159231e+26   -2.2103686e+26    4.3262916e+26    0.0000000e+00
0088    8.1229982e-06    8.1446369e-06    8.1663902e-06    2.1500136e+26   -2.2371685e+26    4.3871821e+26    0.0000000e+00
0089    8.1663902e-06    8.1881435e-06    8.2100132e-06    2.1846527e+26   -2.2643843e+26    4.4490374e+26    0.0000000e+00
0090    8.2100132e-06    8.2318838e-06    8.2538709e-06    2.2198506e+26   -2.2920234e+26    4.5118740e+26    0.0000000e+00
0091    8.2538709e-06    8.2758570e-06    8.2979614e-06    2.2556151e+26   -2.3200937e+26    4.5757090e+26    0.0000000e+00
0092    8.2979614e-06    8.3200648e-06    8.3422874e-06    2.2919559e+26   -2.3486020e+26    4.6405574e+26    3.2007234e+19
0093    8.3422874e-06    8.3645091e-06    8.3868499e-06    2.3288823e+26   -2.3775577e+26    4.7064399e+26    0.0000000e+00
0094    8.3868499e-06    8.4091907e-06    8.4316516e-06    2.3664035e+26   -2.4069686e+26    4.7733721e+26    0.0000000e+00
0095    8.4316516e-06    8.4541107e-06    8.4766916e-06    2.4045292e+26   -2.4368435e+26    4.8413727e+26    0.0000000e+00
0096    8.4766916e-06    8.4992716e-06    8.5219726e-06    2.4432694e+26   -2.4671917e+26    4.9104609e+26    0.0000000e+00
0097    8.5219726e-06    8.5446727e-06    8.5674956e-06    2.4826333e+26   -2.4980219e+26    4.9806552e+26    0.0000000e+00
0098    8.5674956e-06    8.5903175e-06    8.6132623e-06    2.5226319e+26   -2.5293441e+26    5.0519762e+26    0.0000000e+00
0099    8.6132623e-06    8.6362052e-06    8.6592718e-06    2.5632747e+26   -2.5611673e+26    5.1244424e+26    0.0000000e+00
0100    8.6592718e-06    8.6823384e-06    8.7055287e-06    2.6045723e+26   -2.5935019e+26    5.1980741e+26    0.0000000e+00
0101    8.7055287e-06    8.7287181e-06    8.7520320e-06    2.6465354e+26   -2.6263587e+26    5.2728944e+26    0.0000000e+00
0102    8.7520320e-06    8.7753460e-06    8.7987837e-06    2.6891748e+26   -2.6597477e+26    5.3489223e+26    0.0000000e+00
0103    8.7987837e-06    8.8222223e-06    8.8457855e-06    2.7325009e+26   -2.6936773e+26    5.4261780e+26    0.0000000e+00
0104    8.8457855e-06    8.8693487e-06    8.8930374e-06    2.7765250e+26   -2.7281403e+26    5.5046652e+26    0.0000000e+00
0105    8.8930374e-06    8.9167270e-06    8.9405430e-06    2.8212581e+26   -2.7631431e+26    5.5844013e+26    0.0000000e+00
0106    8.9405430e-06    8.9643581e-06    8.9883015e-06    2.8667122e+26   -2.7986957e+26    5.6654083e+26    0.0000000e+00
0107    8.9883015e-06    9.0122439e-06    9.0363155e-06    2.9128984e+26   -2.8348078e+26    5.7477062e+26    0.0000000e+00
0108    9.0363155e-06    9.0603871e-06    9.0845861e-06    2.9598293e+26   -2.8714906e+26    5.8313198e+26    0.0000000e+00
0109    9.0845861e-06    9.1087850e-06    9.1331140e-06    3.0075156e+26   -2.9087531e+26    5.9162685e+26    0.0000000e+00
0110    9.1331140e-06    9.1574429e-06    9.1819020e-06    3.0559704e+26   -2.9466073e+26    6.0025779e+26    0.0000000e+00
0111    9.1819020e-06    9.2063601e-06    9.2309492e-06    3.1052061e+26   -2.9850639e+26    6.0902700e+26    0.0000000e+00
0112    9.2309492e-06    9.2555392e-06    9.2802602e-06    3.1552351e+26   -3.0241347e+26    6.1793697e+26    0.0000000e+00
0113    9.2802602e-06    9.3049812e-06    9.3298331e-06    3.2060703e+26   -3.0638312e+26    6.2699015e+26    0.0000000e+00
0114    9.3298331e-06    9.3546860e-06    9.3796716e-06    3.2577234e+26   -3.1041639e+26    6.3618873e+26    0.0000000e+00
0115    9.3796716e-06    9.4046572e-06    9.4297766e-06    3.3102099e+26   -3.1451481e+26    6.4553577e+26    0.0000000e+00
0116    9.4297766e-06    9.4548950e-06    9.4801489e-06    3.3635417e+26   -3.1867938e+26    6.5503355e+26    0.0000000e+00
0117    9.4801489e-06    9.5054020e-06    9.5307905e-06    3.4177327e+26   -3.2291158e+26    6.6468489e+26    0.0000000e+00
0118    9.5307905e-06    9.5561782e-06    9.5817013e-06    3.4727970e+26   -3.2721263e+26    6.7449228e+26    0.0000000e+00
0119    9.5817013e-06    9.6072254e-06    9.6328858e-06    3.5287478e+26   -3.3158395e+26    6.8445877e+26    0.0000000e+00
0120    9.6328858e-06    9.6585454e-06    9.6843423e-06    3.5856006e+26   -3.3602674e+26    6.9458677e+26    0.0000000e+00
0121    9.6843423e-06    9.7101392e-06    9.7360744e-06    3.6433688e+26   -3.4054007e+26    7.0487695e+26    0.0000000e+00
0122    9.7360744e-06    9.7620095e-06    9.7880829e-06    3.7020682e+26   -3.4512471e+26    7.1533153e+26    0.0000000e+00
0123    9.7880829e-06    9.8141563e-06    9.8403698e-06    3.7617135e+26   -3.4978189e+26    7.2595324e+26    0.0000000e+00
0124    9.8403698e-06    9.8665814e-06    9.8929349e-06    3.8223192e+26   -3.5451288e+26    7.3674481e+26    0.0000000e+00
0125    9.8929349e-06    9.9192875e-06    9.9457811e-06    3.8839018e+26   -3.5931911e+26    7.4770926e+26    4.5494163e+19
0126    9.9457811e-06    9.9722747e-06    9.9989093e-06    3.9464761e+26   -3.6420185e+26    7.5884947e+26    0.0000000e+00
0127    9.9989093e-06    1.0025545e-05    1.0052322e-05    4.0100591e+26   -3.6916255e+26    7.7016846e+26    0.0000000e+00
0128    1.0052322e-05    1.0079099e-05    1.0106020e-05    4.0746662e+26   -3.7420261e+26    7.8166920e+26    4.6971906e+19
0129    1.0106020e-05    1.0132941e-05    1.0160004e-05    4.1403145e+26   -3.7932353e+26    7.9335499e+26    4.7475083e+19
0130    1.0160004e-05    1.0187068e-05    1.0214277e-05    4.2070198e+26   -3.8452673e+26    8.0522879e+26    9.5967275e+19
0131    1.0214277e-05    1.0241486e-05    1.0268840e-05    4.2748009e+26   -3.8981390e+26    8.1729399e+26    0.0000000e+00
0132    1.0268840e-05    1.0296194e-05    1.0323694e-05    4.3436733e+26   -3.9518644e+26    8.2955377e+26    0.0000000e+00
0133    1.0323694e-05    1.0351195e-05    1.0378842e-05    4.4136551e+26   -4.0064605e+26    8.4201159e+26    0.0000000e+00
0134    1.0378842e-05    1.0406489e-05    1.0434284e-05    4.4847650e+26   -4.0619443e+26    8.5467086e+26    0.0000000e+00
0135    1.0434284e-05    1.0462079e-05    1.0490022e-05    4.5570202e+26   -4.1183315e+26    8.6753510e+26    1.0121868e+20
0136    1.0490022e-05    1.0517965e-05    1.0546058e-05    4.6304401e+26   -4.1756411e+26    8.8060809e+26    0.0000000e+00
0137    1.0546058e-05    1.0574150e-05    1.0602394e-05    4.7050417e+26   -4.2338890e+26    8.9389306e+26    0.0000000e+00
0138    1.0602394e-05    1.0630636e-05    1.0659030e-05    4.7808460e+26   -4.2930953e+26    9.0739416e+26    0.0000000e+00
0139    1.0659030e-05    1.0687422e-05    1.0715968e-05    4.8578715e+26   -4.3532755e+26    9.2111470e+26    1.0562597e+20
0140    1.0715968e-05    1.0744513e-05    1.0773211e-05    4.9361377e+26   -4.4144224e+26    9.3505601e+26    0.0000000e+00
0141    1.0773211e-05    1.0801909e-05    1.0830759e-05    5.0156657e+26   -4.4765426e+26    9.4922082e+26    0.0000000e+00
