Spectra extracted from: /Users/belmont/Recherche/codes/BELM/belm/simu000/BSC_avecinduit.txt
At local time: 19:03:04,  08/12/2021
Author: belmont
 
PARAMETERS:-----------------------------------
time      = 0.00e+00
Rcm       = 6.03e+05
tau       = 6.82e+00
lb        = 0.00e+00
beta      = ********
lth       = 9.49e+00
lc        = 0.00e+00
Tp        = 1.00e+06
pinj      = 2.12e-01
lnth      = 0.00e+00
p1        = 8.31e-01
p2        = 1.00e+03
gamma_inj = 5.00e+00
linjw     = 0.00e+00
kTin      = 1.00e+00
kTout     = 1.00e-10
linjem    = 0.00e+00
linjep    = 0.00e+00
lslh      = 0.00e+00
lh        = 0.00e+00
llll      = 0.00e+00
lblh      = 0.00e+00
lnthlh    = 0.00e+00
par3      = 0.00e+00
y         = 0.00e+00
rr        = 0.00e+00
qsto      = 1.67e+00
lsto      = 0.00e+00
lstotot   = 0.00e+00
tau_inj   = 0.00e+00
kTin_inj  = 0.00e+00
pinj_inj  = 0.00e+00
 
PHOTON DISTRIBUTIONS:-------------------------
 #bin     Emin(keV)         E(keV)          Emax(keV)        SPECTRUM         Compton          Brems ep         Error           
-----------------------------------------------
0066    7.2246012e-06    7.2438461e-06    7.2631933e-06    1.0918329e+18   -9.1855181e+27    9.1855152e+27    2.9967633e+21
0067    7.2631933e-06    7.2825414e-06    7.3019924e-06    1.1185687e+18   -9.2317767e+27    9.2317731e+27    3.0288655e+21
0068    7.3019924e-06    7.3214437e-06    7.3409983e-06    1.1459761e+18   -9.2782648e+27    9.2782619e+27    3.0613109e+21
0069    7.3409983e-06    7.3605534e-06    7.3802125e-06    1.1740710e+18   -9.3249879e+27    9.3249850e+27    3.0941044e+21
0070    7.3802125e-06    7.3998722e-06    7.4196369e-06    1.2028696e+18   -9.3719442e+27    9.3719418e+27    2.5017991e+21
0071    7.4196369e-06    7.4394006e-06    7.4592708e-06    1.2323879e+18   -9.4191371e+27    9.4191342e+27    3.1607487e+21
0072    7.4592708e-06    7.4791405e-06    7.4991167e-06    1.2626411e+18   -9.4665651e+27    9.4665627e+27    2.5556855e+21
0073    7.4991167e-06    7.5190928e-06    7.5391758e-06    1.2936452e+18   -9.5142332e+27    9.5142297e+27    3.2288282e+21
0074    7.5391758e-06    7.5592588e-06    7.5794487e-06    1.3254170e+18   -9.5621399e+27    9.5621363e+27    3.2634161e+21
0075    7.5794487e-06    7.5996390e-06    7.6199367e-06    1.3579900e+18   -9.6102861e+27    9.6102832e+27    2.6386996e+21
0076    7.6199367e-06    7.6402348e-06    7.6606411e-06    1.3913944e+18   -9.6586739e+27    9.6586709e+27    3.3337072e+21
0077    7.6606411e-06    7.6810475e-06    7.7015629e-06    1.4256518e+18   -9.7073048e+27    9.7073013e+27    3.3694184e+21
0078    7.7015629e-06    7.7220784e-06    7.7427039e-06    1.4607821e+18   -9.7561783e+27    9.7561760e+27    2.7244098e+21
0079    7.7427039e-06    7.7633285e-06    7.7840632e-06    1.4968078e+18   -9.8052998e+27    9.8052963e+27    3.4419931e+21
0080    7.7840632e-06    7.8047988e-06    7.8256453e-06    1.5337495e+18   -9.8546651e+27    9.8546615e+27    3.4788641e+21
0081    7.8256453e-06    7.8464909e-06    7.8674484e-06    1.5716300e+18   -9.9042794e+27    9.9042759e+27    2.8129044e+21
0082    7.8674484e-06    7.8884059e-06    7.9094743e-06    1.6104703e+18   -9.9541417e+27    9.9541382e+27    3.5537958e+21
0083    7.9094743e-06    7.9305437e-06    7.9517249e-06    1.6502925e+18   -1.0004253e+28    1.0004250e+28    3.5918645e+21
0084    7.9517249e-06    7.9729080e-06    7.9942020e-06    1.6911191e+18   -1.0054618e+28    1.0054615e+28    3.6303415e+21
0085    7.9942020e-06    8.0154969e-06    8.0369064e-06    1.7329718e+18   -1.0105234e+28    1.0105230e+28    2.9353840e+21
0086    8.0369064e-06    8.0583150e-06    8.0798372e-06    1.7758733e+18   -1.0156106e+28    1.0156102e+28    3.7085361e+21
0087    8.0798372e-06    8.1013604e-06    8.1229982e-06    1.8198439e+18   -1.0207230e+28    1.0207226e+28    3.7482621e+21
0088    8.1229982e-06    8.1446369e-06    8.1663902e-06    1.8649175e+18   -1.0258612e+28    1.0258609e+28    3.0307314e+21
0089    8.1663902e-06    8.1881435e-06    8.2100132e-06    1.9111560e+18   -1.0310249e+28    1.0310247e+28    3.0631970e+21
0090    8.2100132e-06    8.2318838e-06    8.2538709e-06    1.9585924e+18   -1.0362149e+28    1.0362146e+28    3.0960108e+21
0091    8.2538709e-06    8.2758570e-06    8.2979614e-06    2.0072563e+18   -1.0414308e+28    1.0414306e+28    3.1291759e+21
0092    8.2979614e-06    8.3200648e-06    8.3422874e-06    2.0571784e+18   -1.0466726e+28    1.0466724e+28    3.1626959e+21
