Spectra extracted from: /Users/belmont/Recherche/codes/BELM/belm/simu_BSC_sansinduit/BSC_sansinduit.txt
At local time: 16:37:44,  07/29/2021
Author: belmont
 
PARAMETERS:-----------------------------------
time      = 0.00e+00
Rcm       = 6.03e+05
tau       = 6.82e+00
lb        = 0.00e+00
beta      = ********
lth       = 9.49e+00
lc        = 0.00e+00
Tp        = 1.00e+06
pinj      = 2.12e-01
lnth      = 0.00e+00
p1        = 8.31e-01
p2        = 1.00e+03
gamma_inj = 5.00e+00
linjw     = 0.00e+00
kTin      = 1.00e+00
kTout     = 1.00e-10
linjem    = 0.00e+00
linjep    = 0.00e+00
lslh      = 0.00e+00
lh        = 0.00e+00
llll      = 0.00e+00
lblh      = 0.00e+00
lnthlh    = 0.00e+00
par3      = 0.00e+00
y         = 0.00e+00
rr        = 0.00e+00
qsto      = 1.67e+00
lsto      = 0.00e+00
lstotot   = 0.00e+00
tau_inj   = 0.00e+00
kTin_inj  = 0.00e+00
pinj_inj  = 0.00e+00
 
PHOTON DISTRIBUTIONS:-------------------------
 #bin     Emin(keV)         E(keV)          Emax(keV)        SPECTRUM         Compton          Brems ep         Error           
-----------------------------------------------
0070    7.3802125e-06    7.3998722e-06    7.4196369e-06    3.0851511e+22   -2.6839821e+22    5.7691332e+22    4.7718032e+15
0071    7.4196369e-06    7.4394006e-06    7.4592708e-06    3.1365736e+22   -2.8156899e+22    5.9522635e+22    0.0000000e+00
0072    7.4592708e-06    7.4791405e-06    7.4991167e-06    3.1888426e+22   -2.9510915e+22    6.1399339e+22    4.8745833e+15
0073    7.4991167e-06    7.5190928e-06    7.5391758e-06    3.2419725e+22   -3.0897497e+22    6.3317220e+22    4.9268010e+15
0074    7.5391758e-06    7.5592588e-06    7.5794487e-06    3.2959767e+22   -3.2320297e+22    6.5280064e+22    0.0000000e+00
0075    7.5794487e-06    7.5996390e-06    7.6199367e-06    3.3508698e+22   -3.3719536e+22    6.7228236e+22    0.0000000e+00
0076    7.6199367e-06    7.6402348e-06    7.6606411e-06    3.4066660e+22   -3.5113639e+22    6.9180303e+22    5.0868336e+15
0077    7.6606411e-06    7.6810475e-06    7.7015629e-06    3.4633803e+22   -3.6540964e+22    7.1174762e+22    5.1413244e+15
0078    7.7015629e-06    7.7220784e-06    7.7427039e-06    3.5210272e+22   -3.8000680e+22    7.3210957e+22    0.0000000e+00
0079    7.7427039e-06    7.7633285e-06    7.7840632e-06    3.5796233e+22   -3.9494119e+22    7.5290359e+22    5.2520648e+15
0080    7.7840632e-06    7.8047988e-06    7.8256453e-06    3.6391823e+22   -4.1022492e+22    7.7414320e+22    5.3083251e+15
0081    7.8256453e-06    7.8464909e-06    7.8674484e-06    3.6997213e+22   -4.2586921e+22    7.9584136e+22    0.0000000e+00
0082    7.8674484e-06    7.8884059e-06    7.9094743e-06    3.7612555e+22   -4.4190360e+22    8.1802915e+22    5.4226625e+15
0083    7.9094743e-06    7.9305437e-06    7.9517249e-06    3.8238011e+22   -4.5831431e+22    8.4069442e+22    0.0000000e+00
0084    7.9517249e-06    7.9729080e-06    7.9942020e-06    3.8873752e+22   -4.7512129e+22    8.6385886e+22    0.0000000e+00
0085    7.9942020e-06    8.0154969e-06    8.0369064e-06    3.9519938e+22   -4.9234522e+22    8.8754464e+22    0.0000000e+00
