Spectra extracted from: /Users/belmont/Recherche/codes/BELM/belm/simu000/with_induced.txt
At local time: 11:34:36,  07/13/2021
Author: belmont
 
PARAMETERS:-----------------------------------
time      = 0.00e+00
Rcm       = 5.00e+07
tau       = 2.40e+00
lb        = 1.62e-02
beta      = 2.91e+08
lth       = 9.49e+00
lc        = 0.00e+00
Tp        = 1.00e+06
pinj      = 1.57e-01
lnth      = 0.00e+00
p1        = 8.31e-01
p2        = 1.00e+03
gamma_inj = 5.00e+00
linjw     = 0.00e+00
kTin      = 1.00e+00
kTout     = 1.00e-10
linjem    = 0.00e+00
linjep    = 0.00e+00
lslh      = 0.00e+00
lh        = 0.00e+00
llll      = 0.00e+00
lblh      = 0.00e+00
lnthlh    = 0.00e+00
par3      = 0.00e+00
y         = 0.00e+00
rr        = 0.00e+00
qsto      = 1.67e+00
lsto      = 0.00e+00
lstotot   = 0.00e+00
tau_inj   = 0.00e+00
kTin_inj  = 0.00e+00
pinj_inj  = 0.00e+00
 
PHOTON DISTRIBUTIONS:-------------------------
 #bin     Emin(keV)         E(keV)          Emax(keV)        SPECTRUM         Compton          Synchrotron      Error           
-----------------------------------------------
0063    7.1100494e-06    7.1289896e-06    7.1480304e-06    1.4230184e+26   -1.0019949e+33    1.0019950e+33    0.0000000e+00
0064    7.1480304e-06    7.1670711e-06    7.1862137e-06    1.4459433e+26   -9.9713679e+32    9.9713687e+32    0.0000000e+00
0065    7.1862137e-06    7.2053563e-06    7.2246012e-06    1.4692375e+26   -9.9227564e+32    9.9227579e+32    1.0068518e+26
0066    7.2246012e-06    7.2438461e-06    7.2631933e-06    1.4929068e+26   -9.8741285e+32    9.8741293e+32    0.0000000e+00
0067    7.2631933e-06    7.2825414e-06    7.3019924e-06    1.5169574e+26   -9.8255015e+32    9.8255038e+32    1.0285386e+26
0068    7.3019924e-06    7.3214437e-06    7.3409983e-06    1.5413948e+26   -9.7769015e+32    9.7769023e+32    0.0000000e+00
0069    7.3409983e-06    7.3605534e-06    7.3802125e-06    1.5662258e+26   -9.7283495e+32    9.7283503e+32    0.0000000e+00
0070    7.3802125e-06    7.3998722e-06    7.4196369e-06    1.5914563e+26   -9.6798663e+32    9.6798687e+32    1.0619476e+26
0071    7.4196369e-06    7.4394006e-06    7.4592708e-06    1.6170931e+26   -9.6314799e+32    9.6314822e+32    0.0000000e+00
0072    7.4592708e-06    7.4791405e-06    7.4991167e-06    1.6431419e+26   -9.5832265e+32    9.5832289e+32    0.0000000e+00
0073    7.4991167e-06    7.5190928e-06    7.5391758e-06    1.6696100e+26   -9.5351380e+32    9.5351395e+32    0.0000000e+00
0074    7.5391758e-06    7.5592588e-06    7.5794487e-06    1.6965039e+26   -9.4872429e+32    9.4872452e+32    0.0000000e+00
0075    7.5794487e-06    7.5996390e-06    7.6199367e-06    1.7238307e+26   -9.4393779e+32    9.4393795e+32    1.1200583e+26
0076    7.6199367e-06    7.6402348e-06    7.6606411e-06    1.7515973e+26   -9.3914395e+32    9.3914410e+32    0.0000000e+00
0077    7.6606411e-06    7.6810475e-06    7.7015629e-06    1.7798112e+26   -9.3434445e+32    9.3434468e+32    0.0000000e+00
0078    7.7015629e-06    7.7220784e-06    7.7427039e-06    1.8084795e+26   -9.2954124e+32    9.2954140e+32    0.0000000e+00
0079    7.7427039e-06    7.7633285e-06    7.7840632e-06    1.8376097e+26   -9.2473603e+32    9.2473618e+32    0.0000000e+00
0080    7.7840632e-06    7.8047988e-06    7.8256453e-06    1.8672084e+26   -9.1993065e+32    9.1993081e+32    0.0000000e+00
0081    7.8256453e-06    7.8464909e-06    7.8674484e-06    1.8972840e+26   -9.1512768e+32    9.1512783e+32    0.0000000e+00
0082    7.8674484e-06    7.8884059e-06    7.9094743e-06    1.9278434e+26   -9.1032981e+32    9.1032996e+32    0.0000000e+00
0083    7.9094743e-06    7.9305437e-06    7.9517249e-06    1.9588944e+26   -9.0553968e+32    9.0553983e+32    0.0000000e+00
0084    7.9517249e-06    7.9729080e-06    7.9942020e-06    1.9904456e+26   -9.0076022e+32    9.0076045e+32    0.0000000e+00
0085    7.9942020e-06    8.0154969e-06    8.0369064e-06    2.0225036e+26   -8.9599462e+32    8.9599477e+32    0.0000000e+00
0086    8.0369064e-06    8.0583150e-06    8.0798372e-06    2.0550778e+26   -8.9124665e+32    8.9124681e+32    0.0000000e+00
0087    8.0798372e-06    8.1013604e-06    8.1229982e-06    2.0881753e+26   -8.8652004e+32    8.8652027e+32    0.0000000e+00
0088    8.1229982e-06    8.1446369e-06    8.1663902e-06    2.1218056e+26   -8.8181069e+32    8.8181084e+32    0.0000000e+00
0089    8.1663902e-06    8.1881435e-06    8.2100132e-06    2.1559770e+26   -8.7709251e+32    8.7709274e+32    6.5012303e+25
0090    8.2100132e-06    8.2318838e-06    8.2538709e-06    2.1906992e+26   -8.7236559e+32    8.7236575e+32    0.0000000e+00
0091    8.2538709e-06    8.2758570e-06    8.2979614e-06    2.2259806e+26   -8.6763163e+32    8.6763186e+32    0.0000000e+00
0092    8.2979614e-06    8.3200648e-06    8.3422874e-06    2.2618296e+26   -8.6289210e+32    8.6289241e+32    6.7124035e+25
0093    8.3422874e-06    8.3645091e-06    8.3868499e-06    2.2982568e+26   -8.5814940e+32    8.5814963e+32    0.0000000e+00
0094    8.3868499e-06    8.4091907e-06    8.4316516e-06    2.3352696e+26   -8.5340569e+32    8.5340592e+32    6.8569827e+25
0095    8.4316516e-06    8.4541107e-06    8.4766916e-06    2.3728787e+26   -8.4866322e+32    8.4866345e+32    6.9304358e+25
0096    8.4766916e-06    8.4992716e-06    8.5219726e-06    2.4110935e+26   -8.4392492e+32    8.4392516e+32    0.0000000e+00
0097    8.5219726e-06    8.5446727e-06    8.5674956e-06    2.4499226e+26   -8.3919360e+32    8.3919383e+32    7.0797114e+25
0098    8.5674956e-06    8.5903175e-06    8.6132623e-06    2.4893769e+26   -8.3447256e+32    8.3447279e+32    0.0000000e+00
0099    8.6132623e-06    8.6362052e-06    8.6592718e-06    2.5294657e+26   -8.2976436e+32    8.2976467e+32    7.2322024e+25
0100    8.6592718e-06    8.6823384e-06    8.7055287e-06    2.5701991e+26   -8.2507326e+32    8.2507350e+32    0.0000000e+00
0101    8.7055287e-06    8.7287181e-06    8.7520320e-06    2.6115878e+26   -8.2040329e+32    8.2040352e+32    7.3879782e+25
0102    8.7520320e-06    8.7753460e-06    8.7987837e-06    2.6536416e+26   -8.1575831e+32    8.1575862e+32    0.0000000e+00
0103    8.7987837e-06    8.8222223e-06    8.8457855e-06    2.6963711e+26   -8.1113770e+32    8.1113801e+32    0.0000000e+00
0104    8.8457855e-06    8.8693487e-06    8.8930374e-06    2.7397888e+26   -8.0651043e+32    8.0651074e+32    0.0000000e+00
0105    8.8930374e-06    8.9167270e-06    8.9405430e-06    2.7839059e+26   -8.0187171e+32    8.0187202e+32    0.0000000e+00
0106    8.9405430e-06    8.9643581e-06    8.9883015e-06    2.8287337e+26   -7.9722348e+32    7.9722379e+32    0.0000000e+00
0107    8.9883015e-06    9.0122439e-06    9.0363155e-06    2.8742835e+26   -7.9256720e+32    7.9256743e+32    7.8757258e+25
0108    9.0363155e-06    9.0603871e-06    9.0845861e-06    2.9205675e+26   -7.8790512e+32    7.8790535e+32    7.9600929e+25
0109    9.0845861e-06    9.1087850e-06    9.1331140e-06    2.9675960e+26   -7.8323940e+32    7.8323963e+32    8.0453620e+25
0110    9.1331140e-06    9.1574429e-06    9.1819020e-06    3.0153821e+26   -7.7857260e+32    7.7857291e+32    0.0000000e+00
0111    9.1819020e-06    9.2063601e-06    9.2309492e-06    3.0639374e+26   -7.7390750e+32    7.7390781e+32    0.0000000e+00
0112    9.2309492e-06    9.2555392e-06    9.2802602e-06    3.1132747e+26   -7.6924650e+32    7.6924673e+32    8.3066924e+25
0113    9.2802602e-06    9.3049812e-06    9.3298331e-06    3.1634059e+26   -7.6459285e+32    7.6459316e+32    0.0000000e+00
0114    9.3298331e-06    9.3546860e-06    9.3796716e-06    3.2143429e+26   -7.5994942e+32    7.5994973e+32    0.0000000e+00
0115    9.3796716e-06    9.4046572e-06    9.4297766e-06    3.2661001e+26   -7.5532029e+32    7.5532060e+32    0.0000000e+00
0116    9.4297766e-06    9.4548950e-06    9.4801489e-06    3.3186888e+26   -7.5070889e+32    7.5070928e+32    0.0000000e+00
0117    9.4801489e-06    9.5054020e-06    9.5307905e-06    3.3721238e+26   -7.4611915e+32    7.4611946e+32    0.0000000e+00
0118    9.5307905e-06    9.5561782e-06    9.5817013e-06    3.4264170e+26   -7.4155502e+32    7.4155541e+32    0.0000000e+00
0119    9.5817013e-06    9.6072254e-06    9.6328858e-06    3.4815824e+26   -7.3702137e+32    7.3702168e+32    0.0000000e+00
0120    9.6328858e-06    9.6585454e-06    9.6843423e-06    3.5376339e+26   -7.3251930e+32    7.3251961e+32    0.0000000e+00
0121    9.6843423e-06    9.7101392e-06    9.7360744e-06    3.5945879e+26   -7.2801211e+32    7.2801250e+32    4.5713619e+25
0122    9.7360744e-06    9.7620095e-06    9.7880829e-06    3.6524594e+26   -7.2349154e+32    7.2349193e+32    0.0000000e+00
0123    9.7880829e-06    9.8141563e-06    9.8403698e-06    3.7112639e+26   -7.1895944e+32    7.1895975e+32    0.0000000e+00
0124    9.8403698e-06    9.8665814e-06    9.8929349e-06    3.7710155e+26   -7.1441760e+32    7.1441798e+32    0.0000000e+00
0125    9.8929349e-06    9.9192875e-06    9.9457811e-06    3.8317304e+26   -7.0986817e+32    7.0986855e+32    0.0000000e+00
0126    9.9457811e-06    9.9722747e-06    9.9989093e-06    3.8934226e+26   -7.0531324e+32    7.0531363e+32    4.8215104e+25
0127    9.9989093e-06    1.0025545e-05    1.0052322e-05    3.9561090e+26   -7.0075530e+32    7.0075569e+32    0.0000000e+00
0128    1.0052322e-05    1.0079099e-05    1.0106020e-05    4.0198045e+26   -6.9619697e+32    6.9619736e+32    4.9253614e+25
0129    1.0106020e-05    1.0132941e-05    1.0160004e-05    4.0845257e+26   -6.9164105e+32    6.9164143e+32    0.0000000e+00
0130    1.0160004e-05    1.0187068e-05    1.0214277e-05    4.1502883e+26   -6.8709030e+32    6.8709069e+32    0.0000000e+00
0131    1.0214277e-05    1.0241486e-05    1.0268840e-05    4.2171098e+26   -6.8254791e+32    6.8254838e+32    0.0000000e+00
0132    1.0268840e-05    1.0296194e-05    1.0323694e-05    4.2850060e+26   -6.7801736e+32    6.7801783e+32    0.0000000e+00
0133    1.0323694e-05    1.0351195e-05    1.0378842e-05    4.3539942e+26   -6.7350213e+32    6.7350267e+32    5.1948808e+25
0134    1.0378842e-05    1.0406489e-05    1.0434284e-05    4.4240919e+26   -6.6900601e+32    6.6900655e+32    5.2505295e+25
0135    1.0434284e-05    1.0462079e-05    1.0490022e-05    4.4953166e+26   -6.6453318e+32    6.6453356e+32    0.0000000e+00
0136    1.0490022e-05    1.0517965e-05    1.0546058e-05    4.5676857e+26   -6.6008773e+32    6.6008828e+32    0.0000000e+00
0137    1.0546058e-05    1.0574150e-05    1.0602394e-05    4.6412167e+26   -6.5567425e+32    6.5567471e+32    5.4210775e+25
0138    1.0602394e-05    1.0630636e-05    1.0659030e-05    4.7159282e+26   -6.5129759e+32    6.5129797e+32    5.4791497e+25
0139    1.0659030e-05    1.0687422e-05    1.0715968e-05    4.7918377e+26   -6.4696062e+32    6.4696108e+32    5.5378426e+25
0140    1.0715968e-05    1.0744513e-05    1.0773211e-05    4.8689698e+26   -6.4262404e+32    6.4262450e+32    5.5971650e+25
0141    1.0773211e-05    1.0801909e-05    1.0830759e-05    4.9473467e+26   -6.3827287e+32    6.3827333e+32    5.6571234e+25
0142    1.0830759e-05    1.0859610e-05    1.0888615e-05    5.0269849e+26   -6.3390871e+32    6.3390921e+32    0.0000000e+00
0143    1.0888615e-05    1.0917621e-05    1.0946780e-05    5.1079082e+26   -6.2953352e+32    6.2953402e+32    0.0000000e+00
0144    1.0946780e-05    1.0975940e-05    1.1005256e-05    5.1901350e+26   -6.2514924e+32    6.2514978e+32    0.0000000e+00
0145    1.1005256e-05    1.1034572e-05    1.1064044e-05    5.2736869e+26   -6.2075807e+32    6.2075857e+32    0.0000000e+00
0146    1.1064044e-05    1.1093517e-05    1.1123147e-05    5.3585855e+26   -6.1636257e+32    6.1636311e+32    0.0000000e+00
