Spectra extracted from: /Users/belmont/Recherche/codes/BELM/belm/simu000/spectra.txt
At local time: 15:59:43,  07/01/2021
Author: belmont
 
PARAMETERS:-----------------------------------
time      = 0.00e+00
Rcm       = 5.00e+07
tau       = 2.40e+00
lb        = 1.61e-02
beta      = 2.91e+08
lth       = 9.49e+00
lc        = 0.00e+00
Tp        = 1.00e+06
pinj      = 1.57e-01
lnth      = 9.50e-01
p1        = 8.31e-01
p2        = 1.00e+03
gamma_inj = 5.00e+00
linjw     = 0.00e+00
kTin      = 1.00e+00
kTout     = 1.00e-10
linjem    = 0.00e+00
linjep    = 0.00e+00
lslh      = 0.00e+00
lh        = 0.00e+00
llll      = 0.00e+00
lblh      = 0.00e+00
lnthlh    = 0.00e+00
par3      = 0.00e+00
y         = 0.00e+00
rr        = 0.00e+00
qsto      = 1.67e+00
lsto      = 0.00e+00
lstotot   = 0.00e+00
tau_inj   = 0.00e+00
kTin_inj  = 0.00e+00
pinj_inj  = 0.00e+00
 
PHOTON DISTRIBUTIONS:-------------------------
 #bin     Emin(keV)         E(keV)          Emax(keV)        Distribution     SPECTRUM         Compton          Synchrotron      Error           
-----------------------------------------------
0051    1.3975194e-04    1.4758557e-04    1.5634953e-04    6.1256094e+29    6.1256094e+29   -3.0837127e+29    9.2093219e+29    0.0000000e+00
0052    1.5634953e-04    1.6511352e-04    1.7491834e-04    5.3098670e+29    5.3098670e+29    2.3912206e+28    5.0707453e+29    5.0421991e+22
0053    1.7491834e-04    1.8472318e-04    1.9569248e-04    4.9212854e+29    4.9212854e+29    2.5002894e+29    2.4209960e+29    0.0000000e+00
0054    1.9569248e-04    2.0666176e-04    2.1893383e-04    4.9108214e+29    4.9108214e+29    3.8496271e+29    1.0611941e+29    0.0000000e+00
0055    2.1893383e-04    2.3120589e-04    2.4493545e-04    5.1187098e+29    5.1187098e+29    4.6813495e+29    4.3736027e+28    1.5448011e+22
0056    2.4493545e-04    2.5866498e-04    2.7402511e-04    5.4326032e+29    5.4326032e+29    5.2617246e+29    1.7087867e+28    1.3534683e+22
0057    2.7402511e-04    2.8938524e-04    3.0656965e-04    5.7913648e+29    5.7913648e+29    5.7279347e+29    6.3429935e+27    1.5125424e+22
0058    3.0656965e-04    3.2375401e-04    3.4297927e-04    6.1646781e+29    6.1646781e+29    6.1423084e+29    2.2369677e+27    1.5145202e+22
0059    3.4297927e-04    3.6220453e-04    3.8371311e-04    6.5383106e+29    6.5383106e+29    6.5308213e+29    7.4888158e+26    2.7012663e+22
0060    3.8371311e-04    4.0522165e-04    4.2928470e-04    6.9062048e+29    6.9062048e+29    6.9038278e+29    2.3768860e+26    2.9972993e+22
0061    4.2928470e-04    4.5334769e-04    4.8026856e-04    7.2666657e+29    7.2666657e+29    7.2659517e+29    7.1415214e+25    6.9021528e+20
0062    4.8026856e-04    5.0718937e-04    5.3730753e-04    7.6205924e+29    7.6205924e+29    7.6203899e+29    2.0277897e+25    1.7060156e+21
0063    5.3730753e-04    5.6742557e-04    6.0112064e-04    7.9705734e+29    7.9705734e+29    7.9705197e+29    5.4312005e+24    2.6214311e+21
0064    6.0112064e-04    6.3481572e-04    6.7251257e-04    8.3202922e+29    8.3202922e+29    8.3202786e+29    1.3694145e+24    2.8084155e+22
0065    6.7251257e-04    7.1020942e-04    7.5238332e-04    8.6740390e+29    8.6740390e+29    8.6740367e+29    3.2434218e+23    3.2815940e+22
0066    7.5238332e-04    7.9455727e-04    8.4173994e-04    9.0362928e+29    9.0362928e+29    9.0362921e+29    7.1995588e+22    9.8126659e+20
0067    8.4173994e-04    8.8892260e-04    9.4170892e-04    9.4113001e+29    9.4113001e+29    9.4113001e+29    1.4941367e+22    1.4941367e+22
0068    9.4170892e-04    9.9449523e-04    1.0535506e-03    9.8027533e+29    9.8027533e+29    9.8027533e+29    2.8916814e+21    2.8916814e+21
0069    1.0535506e-03    1.1126063e-03    1.1786753e-03    1.0213598e+30    1.0213598e+30    1.0213598e+30    5.2050789e+20    5.2050789e+20
0070    1.1786753e-03    1.2447445e-03    1.3186603e-03    1.0645975e+30    1.0645975e+30    1.0645975e+30    8.6898037e+19    8.6898037e+19
0071    1.3186603e-03    1.3925763e-03    1.4752706e-03    1.1101261e+30    1.1101261e+30    1.1101261e+30    1.3416350e+19    1.3416350e+19
0072    1.4752706e-03    1.5579651e-03    1.6504807e-03    1.1580199e+30    1.1580199e+30    1.1580199e+30    1.9097750e+18    1.9097750e+18
0073    1.6504807e-03    1.7429964e-03    1.8464995e-03    1.2083091e+30    1.2083091e+30    1.2083091e+30    2.4984995e+17    2.4984995e+17
0074    1.8464995e-03    1.9500027e-03    2.0657987e-03    1.2610011e+30    1.2610011e+30    1.2610011e+30    2.9942970e+16    2.9942970e+16
0075    2.0657987e-03    2.1815943e-03    2.3111426e-03    1.3161006e+30    1.3161006e+30    1.3161006e+30    3.2759885e+15    3.2759885e+15
0076    2.3111426e-03    2.4406908e-03    2.5856246e-03    1.3736247e+30    1.3736247e+30    1.3736247e+30    3.2604654e+14    3.2604654e+14
0077    2.5856246e-03    2.7305586e-03    2.8927056e-03    1.4336139e+30    1.4336139e+30    1.4336139e+30    2.9411116e+13    2.9411116e+13
0078    2.8927056e-03    3.0548526e-03    3.2362570e-03    1.4961346e+30    1.4961346e+30    1.4961346e+30    2.3954763e+12    2.3954763e+12
0079    3.2362570e-03    3.4176614e-03    3.6206099e-03    1.5612805e+30    1.5612805e+30    1.5612805e+30    1.7547831e+11    1.7547831e+11
0080    3.6206099e-03    3.8235588e-03    4.0506106e-03    1.6291675e+30    1.6291675e+30    1.6291675e+30    1.1514699e+10    1.1514699e+10
0081    4.0506106e-03    4.2776624e-03    4.5316801e-03    1.6999294e+30    1.6999294e+30    1.6999294e+30    6.7400378e+08    6.7400378e+08
0082    4.5316801e-03    4.7856979e-03    5.0698840e-03    1.7737121e+30    1.7737121e+30    1.7737121e+30    3.5040268e+07    3.5040268e+07
0083    5.0698840e-03    5.3540696e-03    5.6720069e-03    1.8506682e+30    1.8506682e+30    1.8506682e+30    1.6107019e+06    1.6107019e+06
0084    5.6720069e-03    5.9899446e-03    6.3456409e-03    1.9309553e+30    1.9309553e+30    1.9309553e+30    6.5160207e+04    6.5160207e+04
