Spectra extracted from: /Users/belmont/Recherche/codes/BELM/belm/simu000/synch_escape.txt
At local time: 21:32:11,  07/01/2021
Author: belmont
 
PARAMETERS:-----------------------------------
time      = 0.00e+00
Rcm       = 5.00e+07
tau       = 2.40e+00
lb        = 1.61e-02
beta      = 2.91e+08
lth       = 9.49e+00
lc        = 0.00e+00
Tp        = 1.00e+06
pinj      = 1.57e-01
lnth      = 9.50e-01
p1        = 8.31e-01
p2        = 1.00e+03
gamma_inj = 5.00e+00
linjw     = 0.00e+00
kTin      = 1.00e+00
kTout     = 1.00e-10
linjem    = 0.00e+00
linjep    = 0.00e+00
lslh      = 0.00e+00
lh        = 0.00e+00
llll      = 0.00e+00
lblh      = 0.00e+00
lnthlh    = 0.00e+00
par3      = 0.00e+00
y         = 0.00e+00
rr        = 0.00e+00
qsto      = 1.67e+00
lsto      = 0.00e+00
lstotot   = 0.00e+00
tau_inj   = 0.00e+00
kTin_inj  = 0.00e+00
pinj_inj  = 0.00e+00
 
PHOTON DISTRIBUTIONS:-------------------------
 #bin     Emin(keV)         E(keV)          Emax(keV)        SPECTRUM         Synchrotron      Error           
-----------------------------------------------
0071    2.5958318e-05    2.6686421e-05    2.7456545e-05    1.0071639e+28    1.0071639e+28    0.0000000e+00
0072    2.7456545e-05    2.8226672e-05    2.9041248e-05    1.1917540e+28    1.1917540e+28    0.0000000e+00
0073    2.9041248e-05    2.9855824e-05    3.0717416e-05    1.4101735e+28    1.4101735e+28    0.0000000e+00
0074    3.0717416e-05    3.1579006e-05    3.2490323e-05    1.6686219e+28    1.6686219e+28    0.0000000e+00
0075    3.2490323e-05    3.3401644e-05    3.4365559e-05    1.9744334e+28    1.9744334e+28    0.0000000e+00
0076    3.4365559e-05    3.5329478e-05    3.6349029e-05    2.3362867e+28    2.3362867e+28    0.0000000e+00
0077    3.6349029e-05    3.7368580e-05    3.8446975e-05    2.7644497e+28    2.7644497e+28    0.0000000e+00
0078    3.8446975e-05    3.9525374e-05    4.0666007e-05    3.2710690e+28    3.2710690e+28    0.0000000e+00
0079    4.0666007e-05    4.1806645e-05    4.3013119e-05    3.8705146e+28    3.8705146e+28    0.0000000e+00
0080    4.3013119e-05    4.4219589e-05    4.5495693e-05    4.5797827e+28    4.5797827e+28    0.0000000e+00
0081    4.5495693e-05    4.6771802e-05    4.8121557e-05    5.4189732e+28    5.4189732e+28    0.0000000e+00
0082    4.8121557e-05    4.9471313e-05    5.0898980e-05    6.4118436e+28    6.4118436e+28    0.0000000e+00
0083    5.0898980e-05    5.2326639e-05    5.3836702e-05    7.5864742e+28    7.5864742e+28    0.0000000e+00
0084    5.3836702e-05    5.5346762e-05    5.6943980e-05    8.9760069e+28    8.9760069e+28    0.0000000e+00
0085    5.6943980e-05    5.8541198e-05    6.0230599e-05    1.0619530e+29    1.0619530e+29    0.0000000e+00
0086    6.0230599e-05    6.1920000e-05    6.3706910e-05    1.2563031e+29    1.2563031e+29    0.0000000e+00
0087    6.3706910e-05    6.5493819e-05    6.7383866e-05    1.4860441e+29    1.4860441e+29    0.0000000e+00
0088    6.7383866e-05    6.9273920e-05    7.1273040e-05    1.7574661e+29    1.7574661e+29    0.0000000e+00
0089    7.1273040e-05    7.3272175e-05    7.5386692e-05    2.0778337e+29    2.0778337e+29    0.0000000e+00
0090    7.5386692e-05    7.7501209e-05    7.9737772e-05    2.4554047e+29    2.4554047e+29    0.0000000e+00
0091    7.9737772e-05    8.1974322e-05    8.4339976e-05    2.8992935e+29    2.8992935e+29    0.0000000e+00
0092    8.4339976e-05    8.6705622e-05    8.9207802e-05    3.4190126e+29    3.4190126e+29    0.0000000e+00
0093    8.9207802e-05    9.1709982e-05    9.4356583e-05    4.0233584e+29    4.0233584e+29    0.0000000e+00
0094    9.4356583e-05    9.7003183e-05    9.9802535e-05    4.7180174e+29    4.7180174e+29    0.0000000e+00
0095    9.9802535e-05    1.0260189e-04    1.0556282e-04    5.5008172e+29    5.5008172e+29    0.0000000e+00
0096    1.0556282e-04    1.0852374e-04    1.1165556e-04    6.3530223e+29    6.3530223e+29    0.0000000e+00
0097    1.1165556e-04    1.1478738e-04    1.1809995e-04    7.2251187e+29    7.2251187e+29    0.0000000e+00
0098    1.1809995e-04    1.2141253e-04    1.2491629e-04    8.0183720e+29    8.0183720e+29    0.0000000e+00
0099    1.2491629e-04    1.2842007e-04    1.3212605e-04    8.5730068e+29    8.5730068e+29    0.0000000e+00
0100    1.3212605e-04    1.3583204e-04    1.3975194e-04    8.6908498e+29    8.6908498e+29    0.0000000e+00
0101    1.3975194e-04    1.4367183e-04    1.4781798e-04    8.2218833e+29    8.2218833e+29    0.0000000e+00
0102    1.4781798e-04    1.5196411e-04    1.5634953e-04    7.1839412e+29    7.1839412e+29    0.0000000e+00
0103    1.5634953e-04    1.6073497e-04    1.6537352e-04    5.7960724e+29    5.7960724e+29    0.0000000e+00
0104    1.6537352e-04    1.7001206e-04    1.7491834e-04    4.3597669e+29    4.3597669e+29    0.0000000e+00
0105    1.7491834e-04    1.7982461e-04    1.8501407e-04    3.1024920e+29    3.1024920e+29    0.0000000e+00
0106    1.8501407e-04    1.9020350e-04    1.9569248e-04    2.1188979e+29    2.1188979e+29    0.0000000e+00
0107    1.9569248e-04    2.0118144e-04    2.0698720e-04    1.4045321e+29    1.4045321e+29    0.0000000e+00
0108    2.0698720e-04    2.1279298e-04    2.1893383e-04    9.1051551e+28    9.1051551e+28    0.0000000e+00
0109    2.1893383e-04    2.2507468e-04    2.3156997e-04    5.8000592e+28    5.8000592e+28    0.0000000e+00
0110    2.3156997e-04    2.3806526e-04    2.4493545e-04    3.6404884e+28    3.6404884e+28    0.0000000e+00
0111    2.4493545e-04    2.5180561e-04    2.5907232e-04    2.2548551e+28    2.2548551e+28    0.0000000e+00
0112    2.5907232e-04    2.6633902e-04    2.7402511e-04    1.3792217e+28    1.3792217e+28    0.0000000e+00
0113    2.7402511e-04    2.8171123e-04    2.8984097e-04    8.3337821e+27    8.3337821e+27    0.0000000e+00
0114    2.8984097e-04    2.9797069e-04    3.0656965e-04    4.9747604e+27    4.9747604e+27    0.0000000e+00
0115    3.0656965e-04    3.1516858e-04    3.2426382e-04    2.9335482e+27    2.9335482e+27    0.0000000e+00
0116    3.2426382e-04    3.3335909e-04    3.4297927e-04    1.7086003e+27    1.7086003e+27    0.0000000e+00
0117    3.4297927e-04    3.5259948e-04    3.6277494e-04    9.8272092e+26    9.8272092e+26    0.0000000e+00
0118    3.6277494e-04    3.7295037e-04    3.8371311e-04    5.5804275e+26    5.5804275e+26    0.0000000e+00
0119    3.8371311e-04    3.9447588e-04    4.0585978e-04    3.1278827e+26    3.1278827e+26    0.0000000e+00
0120    4.0585978e-04    4.1724372e-04    4.2928470e-04    1.7301057e+26    1.7301057e+26    0.0000000e+00
0121    4.2928470e-04    4.4132565e-04    4.5406161e-04    9.4411359e+25    9.4411359e+25    0.0000000e+00
0122    4.5406161e-04    4.6679753e-04    4.8026856e-04    5.0815071e+25    5.0815071e+25    0.0000000e+00
0123    4.8026856e-04    4.9373956e-04    5.0798809e-04    2.6968838e+25    2.6968838e+25    0.0000000e+00
0124    5.0798809e-04    5.2223663e-04    5.3730753e-04    1.4109627e+25    1.4109627e+25    0.0000000e+00
0125    5.3730753e-04    5.5237842e-04    5.6831911e-04    7.2749866e+24    7.2749866e+24    0.0000000e+00
0126    5.6831911e-04    5.8425992e-04    6.0112064e-04    3.6956392e+24    3.6956392e+24    0.0000000e+00
0127    6.0112064e-04    6.1798148e-04    6.3581544e-04    1.8491080e+24    1.8491080e+24    0.0000000e+00
0128    6.3581544e-04    6.5364933e-04    6.7251257e-04    9.1100838e+23    9.1100838e+23    0.0000000e+00
0129    6.7251257e-04    6.9137581e-04    7.1132783e-04    4.4181397e+23    4.4181397e+23    0.0000000e+00
0130    7.1132783e-04    7.3127978e-04    7.5238332e-04    2.1085322e+23    2.1085322e+23    0.0000000e+00
0131    7.5238332e-04    7.7348691e-04    7.9580845e-04    9.8993957e+22    9.8993957e+22    0.0000000e+00
0132    7.9580845e-04    8.1813004e-04    8.4173994e-04    4.5707334e+22    4.5707334e+22    0.0000000e+00
0133    8.4173994e-04    8.6534984e-04    8.9032238e-04    2.0747714e+22    2.0747714e+22    0.0000000e+00
0134    8.9032238e-04    9.1529498e-04    9.4170892e-04    9.2558711e+21    9.2558711e+21    0.0000000e+00
0135    9.4170892e-04    9.6812285e-04    9.9606125e-04    4.0567632e+21    4.0567632e+21    0.0000000e+00
0136    9.9606125e-04    1.0239996e-03    1.0535506e-03    1.7462523e+21    1.7462523e+21    0.0000000e+00
0137    1.0535506e-03    1.0831016e-03    1.1143582e-03    7.3798263e+20    7.3798263e+20    0.0000000e+00
0138    1.1143582e-03    1.1456148e-03    1.1786753e-03    3.0608419e+20    3.0608419e+20    0.0000000e+00
0139    1.1786753e-03    1.2117360e-03    1.2467046e-03    1.2454658e+20    1.2454658e+20    0.0000000e+00
0140    1.2467046e-03    1.2816733e-03    1.3186603e-03    4.9700019e+19    4.9700019e+19    0.0000000e+00
0141    1.3186603e-03    1.3556473e-03    1.3947692e-03    1.9442383e+19    1.9442383e+19    0.0000000e+00
0142    1.3947692e-03    1.4338909e-03    1.4752706e-03    7.4531847e+18    7.4531847e+18    0.0000000e+00
0143    1.4752706e-03    1.5166504e-03    1.5604185e-03    2.7987332e+18    2.7987332e+18    0.0000000e+00
0144    1.5604185e-03    1.6041865e-03    1.6504807e-03    1.0290414e+18    1.0290414e+18    0.0000000e+00
0145    1.6504807e-03    1.6967749e-03    1.7457411e-03    3.7031974e+17    3.7031974e+17    0.0000000e+00
